"Species,""Regularization"",""Features"",""nParameters"",""AICc"",""Training.AUC"",""Test.AUC"",""bio13.contribution"",""bio14.contribution"",""bio5.contribution"",""bio6.contribution"",""bio7.contribution"",""topology.contribution"""
"Anthene_amarah,1.4,""autofeature=true"",2,121.008854870227,0.8801,0.7872,14.4683,0.7147,0,51.6036,10.5634,22.65"
"Aricia_agestis,0.6,"" -h"",14.5,2408.05185902629,0.73145,0.71415,16.4027,20.7476,5.2038,17.9626,18.3775,21.3057"
"Aricia_vandarbani,1.1,"" -h"",3,331.404452008814,0.79305,0.769,16.6608,45.0547,14.8977,14.5075,3.4928,5.3865"
"Athamanthia_phoenicurus,1.5,"" -h -q"",5,956.44960787685,0.72825,0.70635,2.0518,35.4813,0.6213,1.1275,11.1234,49.5947"
"Azanus_ubaldus,0.6,""autofeature=true"",2.5,135.93274244977,0.8867,0.879,13.7089,3.744,0,33.4464,47.1899,1.9109"
"Callophrys_danchenkoi,1.4,"" -h"",5,384.388444117906,0.8479,0.74095,48.6012,16.5709,20.6212,0.7123,11.1547,2.3398"
"Callophrys_farsica,1.2,"" -h -q"",3,192.349413050094,0.9206,0.92665,64.4241,9.2336,26.1849,0.0473,0,0.1102"
"Callophrys_paulae,1.4,"" -h"",5,596.102761962179,0.8153,0.76775,2.7875,20.6479,65.6971,0.5709,8.8887,1.4079"
"Callophrys_rubi,1,"" -h"",6,503.838329184979,0.83125,0.86705,5.0154,32.1571,7.1294,0.0106,48.9742,6.7134"
"Celastrina_argiolus,1.5,"" threshold=false -h"",7,1278.30120496682,0.75955,0.73875,23.3834,9.9439,0,20.338,9.9078,36.4269"
"Chilades_trochylus,1.3,"" threshold=false -h -q"",5,995.65040444529,0.67065,0.73795,9.5852,11.0554,0.2834,15.6031,48.6487,14.8241"
"Cigaritis_acamas,1.3,"" -h"",6.5,727.506797796327,0.72965,0.7291,17.8759,43.3921,17.611,5.1602,6.8984,9.0624"
"Cigaritis_epargyros,0.5,"" -h -q"",5,407.930700177467,0.67835,0.74715,1.6848,30.4951,1.2447,19.1307,14.7822,32.6624"
"Cigaritis_myrmecophila,0.6,"" -h"",7,688.551424622392,0.7441,0.7262,3.746,31.2793,22.5906,0.2854,31.3736,10.7252"
"Cigaritis_uighurica,1,"" -h"",7,882.296211725884,0.76505,0.7972,13.2782,10.9779,0.2132,2.955,59.2931,13.2827"
"Cupido_argiades,1,""autofeature=true"",2,151.944979751276,0.91025,0.8626,6.1816,0.0805,0,50.8197,42.2132,0.7051"
"Cupido_osiris,1.3,"" -h"",5,424.910566783592,0.75005,0.75205,18.5102,24.1365,28.9547,0.9853,13.805,13.6084"
"Cupido_staudingeri,0.9,"" -h"",7,740.257379637511,0.8786,0.8484,39.0345,9.6311,36.0269,0.6337,5.6655,9.0083"
"Cyaniris_semiargus,0.6,"" threshold=false -p -h"",7,970.52178646967,0.8112,0.7134,15.195,34.4841,44.6495,1.5889,2.2937,1.7887"
"Favonius_quercus,1.4,"" -h -q"",5,655.406523954108,0.76285,0.7564,83.0158,3.176,0.9547,1.0729,9.5987,2.1819"
"Glaucopsyche_alexis,1,"" -h"",7,843.902781051454,0.7429,0.7364,8.0649,39.3406,0.7884,3.2277,44.37,4.2084"
"Hyrcanana_caspius,0.9,"" -h -q"",4.5,378.232589051512,0.83815,0.7915,6.3161,13.0589,8.6104,0.1744,59.6416,12.1986"
"Iolana_iolas,1.5,"" -h"",5,598.234534151476,0.81245,0.73275,19.3728,30.8378,0.3135,0.6068,13.8896,34.9795"
