"Species","Regularization","Features","nParameters","AICc","Training.AUC","Test.AUC","bio13.contribution","bio14.contribution","bio5.contribution","bio6.contribution","bio7.contribution","topology.contribution"
"Aglais_io",0.5," -h",5,300.812770370703,0.72785,0.76575,11.1816,4.7599,4.6184,32.3493,28.8471,18.2437
"Aglais_urticae",0.8," threshold=false -p -h",7,1219.3585111786,0.8195,0.806,10.5724,13.2405,51.4757,0.6209,6.2702,17.8202
"Allancastria_deyrollei",0.7," -h",7,753.055047883189,0.7985,0.7793,25.6852,29.1074,1.3908,27.0762,6.8372,9.9031
"Allancastria_louristana",1.4," -p -q",24.5,978.568876895373,0.73875,0.73605,10.2701,6.0989,1.9656,34.2949,25.2292,22.1414
"Anthene_amarah",1.4,"autofeature=true",2,121.008854870227,0.8801,0.7872,14.4683,0.7147,0,51.6036,10.5634,22.65
"Anthocharis_cardamines",0.8," -h",5,295.623431484909,0.8749,0.84365,2.4765,3.5956,0.4748,63.2281,19.1806,11.0444
"Anthocharis_carolinae",1," -h",5,428.962345116041,0.8014,0.74895,26.2611,13.7343,0.1257,16.1485,38.2059,5.5245
"Anthocharis_damone",1," -h",7,771.516028373084,0.849,0.8301,22.6239,25.858,16.2499,1.4749,6.1984,27.5948
"Anthocharis_gruneri",1.4," -h",6.5,572.35030616274,0.77435,0.70065,18.001,36.7807,5.2682,19.1785,3.6004,17.1712
"Aporia_crataegi",1.3," -h",13,2566.3893232766,0.77945,0.77025,12.4792,12.2936,13.3067,24.8752,6.1006,30.9447
"Aporia_leucodice",0.5," -h",6,321.843182816746,0.8068,0.77785,9.1416,41.0942,1.1927,16.2304,23.6094,8.7317
"Archon_apollinaris",0.9," -h",7,737.836742475414,0.83535,0.81505,22.7152,45.7204,0.8717,15.6946,8.6529,6.3453
"Arethusana_arethusa",1.2,"autofeature=true",3.5,185.626172128107,0.77735,0.87705,5.2901,36.5257,12.5568,0,11.4491,34.1783
"Argynnis_pandora",0.5," threshold=false -p -h",9,2295.85987181463,0.7688,0.7267,16.3271,35.5419,16.5071,0.0909,11.2385,20.2945
"Argynnis_paphia",1.1," -h -q",3.5,454.510779328663,0.71445,0.7139,7.5764,3.1304,0.1627,71.6284,13.7871,3.715
"Aricia_agestis",0.6," -h",14.5,2408.05185902629,0.73145,0.71415,16.4027,20.7476,5.2038,17.9626,18.3775,21.3057
"Aricia_vandarbani",1.1," -h",3,331.404452008814,0.79305,0.769,16.6608,45.0547,14.8977,14.5075,3.4928,5.3865
"Athamanthia_phoenicurus",1.5," -h -q",5,956.44960787685,0.72825,0.70635,2.0518,35.4813,0.6213,1.1275,11.1234,49.5947
"Azanus_ubaldus",0.6,"autofeature=true",2.5,135.93274244977,0.8867,0.879,13.7089,3.744,0,33.4464,47.1899,1.9109
"Belenois_aurota",1," threshold=false -h",7,1149.46596394056,0.6999,0.70475,5.6942,7.5591,0.0796,59.2303,23.4872,3.9495
"Brenthis_daphne",1.3," threshold=false -q",25.5,1212.66626570362,0.87175,0.78685,6.1715,73.9112,3.2226,2.1487,2.6967,11.8493
"Brenthis_mofidii",0.6," -h",8,475.289243186276,0.8402,0.78835,26.8659,22.6448,6.9081,11.5752,3.5999,28.4062
"Brintesia_circe",1.3," -h",5,576.531116130402,0.7385,0.73325,0.105,19.0693,0.0093,22.4656,52.4665,5.8845
"Callophrys_danchenkoi",1.4," -h",5,384.388444117906,0.8479,0.74095,48.6012,16.5709,20.6212,0.7123,11.1547,2.3398
"Callophrys_farsica",1.2," -h -q",3,192.349413050094,0.9206,0.92665,64.4241,9.2336,26.1849,0.0473,0,0.1102
"Callophrys_paulae",1.4," -h",5,596.102761962179,0.8153,0.76775,2.7875,20.6479,65.6971,0.5709,8.8887,1.4079
"Callophrys_rubi",1," -h",6,503.838329184979,0.83125,0.86705,5.0154,32.1571,7.1294,0.0106,48.9742,6.7134
"Carcharodus_alceae",0.7," -p -h",8,1536.87721115068,0.70445,0.70805,6.2123,39.4807,7.4084,1.3267,20.0616,25.5104
"Carcharodus_dravira",0.5," -h",6.5,459.793276193314,0.8003,0.76465,11.3338,40.0956,23.9577,0.0859,16.5097,8.0173
"Carcharodus_orientalis",0.6," -h",8,620.452610965496,0.81285,0.83245,14.6457,21.8854,48.366,1.8772,0.62,12.6058
"Carcharodus_stauderi",1.1," -q",25,329.224317608384,0.8428,0.7111,8.2608,10.607,13.4271,33.3676,6.0232,28.3144
"Catopsilia_florella",0.8," -h -q",3.5,115.098293377982,0.9617,0.94005,27.9366,3.298,3.8225,13.2156,42.9134,8.8139
"Celastrina_argiolus",1.5," threshold=false -h",7,1278.30120496682,0.75955,0.73875,23.3834,9.9439,0,20.338,9.9078,36.4269
"Chazara_bischoffii",0.5," -h",8,631.95406928447,0.84885,0.80155,28.5126,25.6523,3.1534,0.3454,31.5916,10.7447
"Chazara_briseis",1.5," threshold=false -p -q",34,3363.94895708501,0.8038,0.78205,47.772,25.9011,4.4412,6.4284,2.6681,12.7891
"Chazara_enervata",1," -h",6,481.446707435756,0.8476,0.8425,13.6833,37.5703,0.86,0.3584,43.6557,3.8725
"Chazara_persephone",0.7," threshold=false -h",14.5,2108.71704072656,0.7251,0.7024,14.7191,30.2815,11.5282,13.6537,9.3398,20.4776
"Chazara_sieversi",1.3,"autofeature=true",2,145.755091177144,0.86755,0.768,0.4064,0,37.7139,0,39.0331,22.8465
"Chilades_trochylus",1.3," threshold=false -h -q",5,995.65040444529,0.67065,0.73795,9.5852,11.0554,0.2834,15.6031,48.6487,14.8241
"Cigaritis_acamas",1.3," -h",6.5,727.506797796327,0.72965,0.7291,17.8759,43.3921,17.611,5.1602,6.8984,9.0624
"Cigaritis_epargyros",0.5," -h -q",5,407.930700177467,0.67835,0.74715,1.6848,30.4951,1.2447,19.1307,14.7822,32.6624
"Cigaritis_myrmecophila",0.6," -h",7,688.551424622392,0.7441,0.7262,3.746,31.2793,22.5906,0.2854,31.3736,10.7252
