Names;Design;Priority hotspots;Species richness;Species (min & max);Richness rank;Total coverage of PHs (km2);Protection rank;Potential conservation rank
Amne-Mouteh;NP;1;23;19,30;4;60.49;2;4
Arasbaran;NP;0, -2, -1;5;4,5;2;603.54;3;2
Bakhtegan;NP;2;26;24,29;4;1439.83;4;4
Bamou;NP;4;45;36,59;5;115.32;4;5
Boujagh;NP;0;4;4,4;1;34.34;1;1
Dayernakhilou;NP;-2;1;1,1;1;173.76;1;1
Dena;NP;4;62;53,70;4;176.32;2;4
Dez;NP;-2, 0;2;1,5;1;175.89;2;1
Ghamishloo;NP;1;22;19,25;2;282.92;1;2
Ghatroyeh;NP;1;24;23,25;2;209.5;1;2
Golestan;NP;0, 1;14;6,20;3;833.95;4;3
Kantal;NP;0;4;3,4;1;69.95;1;1
karkheh;NP;-1, -2;3;1,6;2;40.09;2;1
Kavir;NP;0, -1, -2;6;0,13;5;3781.06;5;4
Khabr;NP;2, 1;23;17,28;4;672.67;4;4
Khojir;NP;4;36;31,40;2;99.5;1;3
kiasar;NP;0;22;20,25;2;11.91;1;2
kolah ghazi;NP;0;15;12,17;2;416.29;2;2
Lar;NP;4;0;0,0;5;78.82;3;5
Nayband;NP;-2;1;1,1;1;319.08;2;1
Paband;NP;0, 1;25;14,32;4;266.24;2;3
Salouk;NP;0;8;8,9;2;0;1;1
Sarigol;NP;0;8;8,8;2;2.14;1;2
Siah kouh;NP;-2;2;0,4;1;1228.94;4;1
Sorkhe hesar;NP;4;26;22,31;2;19.78;1;3
Tandoureh;NP;2;8;2,14;2;2.5;2;2
Tang-e- sayad;NP;2;38;36,41;2;12.9;1;3
Touran;NP;0, -1, -2;3;0,9;4;7827.94;4;3
Urmia;NP;-1, -2;0;0,0;5;4629.56;5;4
Zamene Ahoo;NP;0;2;2,2;1;145.92;1;1
Abshar-e-shevi;NM;2;32;32,32;2;0;1;2
Bazangan;NM;-2;0;0,0;1;3.96;1;1
Cheshme garab;NM;0;3;3,3;1;16.6;1;1
Cheshme gel feshan pirgol;NM;0;8;8,8;1;0.12;1;1
cheshme gel feshan tang;NM;0;8;8,8;1;0.94;1;1
Cheshmeh fakjour damkesh;NM;0;12;12,12;1;0.95;1;1
Damavand;NM;4;41;41,41;2;11.93;1;2
Dehloran;NM;-2;2;2,3;1;14.75;1;1
Dorfak;NM;0;0;0,0;4;0;1;3
Fosili maraghe;NM;0;5;5,5;1;14.7;1;1
Ghar chal nakhjir;NM;2;26;26,26;2;0.95;1;2
Ghare ghouri ghaleh;NM;0;9;9,9;1;0.17;1;1
Ghare mahikour;NM;2;40;40,40;2;0.95;1;2
Ghare proaa;NM;0;14;14,14;1;0.95;1;1
Ghare rud afshan;NM;4;33;33,33;2;0.03;1;2
Ghare sahoulan;NM;0;5;5,5;1;0.95;1;1
Ghare yakhgan;NM;0;18;18,18;1;12.28;1;1
Gholal binaloud;NM;2;23;21,25;4;44.91;2;4
Gholal seganeh;NM;4;0;0,0;4;0;1;4
Ghole sabalan;NM;0;8;8,9;2;25.72;2;2
Gonbad namakin khersin;NM;4;24;24,24;2;0.94;1;2
Jazireh kharkou;NM;-2;0;0,0;1;35.64;1;1
Kanibard;NM;-2;5;5,5;1;0.69;1;1
khoshke daran;NM;4;32;32,32;2;2.54;1;2
kouhe namak jashk;NM;-1;2;2,2;1;11.69;1;1
laleh vajgoun;NM;3;46;46,46;2;4.14;1;2
Orse sarani;NM;0;5;5,5;1;0.82;1;1
Sarve abar kouh;NM;0;8;8,8;1;0.95;1;1
Sarve ghare bagh;NM;0;8;7,9;2;0.75;1;2
Sarve harzevil;NM;0;20;20,20;1;0.95;1;1
Sarve sirch;NM;0;18;18,18;1;0.95;1;1
Sarve zarbin sangan;NM;0;13;13,13;1;0.95;1;1
Senobar shirvan;NM;0;7;7,7;1;0.95;1;1
Sepahan;NM;0;21;21,21;2;0.79;1;1
Shamsham;NM;0;9;9,9;1;2.21;1;1
