genus,species,y,x,Endemic
Zygaenoprocris,Zygaenoprocris schahdadiani,31.568966,54.120731,T
Zygaena,Zygaena seitzi,31.91791111,51.4243,T
Zygaena,Zygaena chirazica,30.33168056,51.94404444,T
Jordanita,Jordanita anatolica,29.189256,53.333473,F
Zygaenoprocris,Zygaenoprocris valii,29.293506,56.995958,T
Jordanita,Jordanita anatolica,29.293506,56.995958,F
Zygaena,Zygaena kermanensis,29.094803,56.661909,T
Zygaenoprocris,Zygaenoprocris hasarani,29.069479,57.911337,T
Zygaena,Zygaena kermanensis,29.370188,56.703333,T
Zygaena,Zygaena fredi,29.370188,56.703333,T
Rhagades,Rhagades brandti,29.80391,50.626449,T
Rhagades,Rhagades brandti,29.44579722,56.63676111,T
Zygaena,Zygaena haematina,30.278899,51.893025,F
Jordanita,Jordanita kurdica,30.30168056,51.90038056,F
Zygaena,Zygaena haematina,30.30168056,51.90038056,F
Jordanita,Jordanita anatolica,29.26975556,53.30806389,F
Zygaena,Zygaena kermanensis,29.44579722,56.63676111,T
Zygaena,Zygaena chirazica,29.44579722,56.63676111,T
Zygaena,Zygaena kermanensis,30.54589722,56.98749444,T
Zygaenoprocris,Zygaenoprocris duskei,30.95871667,57.17053056,T
Zygaena,Zygaena kermanensis,29.315722,56.263483,T
Zygaenoprocris,Zygaenoprocris duskei,29.2237,56.21934167,T
Zygaena,Zygaena kermanensis,29.2237,56.21934167,T
Zygaena,Zygaena araxis,30.353175,53.188616,F
Zygaena,Zygaena kermanensis,30.36528611,53.19137778,T
Zygaena,Zygaena nocturna,30.50518333,51.84000278,T
Zygaena,Zygaena nocturna,30.570484,51.648013,T
Zygaena,Zygaena cambysea,31.92244167,51.13594444,F
Zygaena,Zygaena pseudorubricundus,33.89513889,48.83262778,T
Zygaena,Zygaena rosinae,33.449827,51.140393,F
Zygaena,Zygaena haematina,33.407304,49.061707,F
Zygaena,Zygaena haematina,33.407304,49.061707,F
Zygaenoprocris,Zygaenoprocris schahdadiani,31.589099,54.086612,T
Zygaena,Zygaena cambysea,32.400435,50.402277,F
Jordanita,Jordanita anatolica,33.500501,48.52855,F
Zygaenoprocris,Zygaenoprocris duskei,27.632863,52.481422,T
Zygaena,Zygaena tamara,36.14475,51.306591,F
Zygaena,Zygaena tamara,36.14475,51.306591,F
Zygaenoprocris,Zygaenoprocris molleti,31.550235,54.042917,T
Zygaenoprocris,Zygaenoprocris molleti,31.550235,54.042917,T
Zygaena,Zygaena kermanensis,30.36528611,53.19137778,T
Zygaenoprocris,Zygaenoprocris duskei,27.20824167,60.42007222,T
Rhagades,Rhagades brandti,30.36528611,53.19137778,T
Zygaena,Zygaena tamara,36.14475,51.306591,F
Zygaena,Zygaena cambysea,36.14475,51.306591,F
Rhagades,Rhagades brandti,30.62169722,51.69617778,T
Zygaena,Zygaena seitzi,30.39519722,51.97048889,T
Zygaena,Zygaena kermanensis,28.84335,54.259672,T
Jordanita,Jordanita anatolica,28.84335,54.259672,F
Zygaena,Zygaena kermanensis,31.308688,52.520236,T
Zygaena,Zygaena fredi,28.886075,54.457775,T
Jordanita,Jordanita anatolica,33.625438,48.304993,F
Zygaenoprocris,Zygaenoprocris schahdadiani,31.566324,54.031891,T
Zygaenoprocris,Zygaenoprocris schahdadiani,31.643235,53.894492,T
Zygaena,Zygaena rosinae,31.593481,53.981128,F
Zygaena,Zygaena rosinae,33.52823611,51.07503333,F
Zygaenoprocris,Zygaenoprocris valii,33.145688,50.428393,T
Zygaena,Zygaena rosinae,33.145688,50.428393,F
Zygaena,Zygaena naumanni,33.10493333,50.31747222,T
Jordanita,Jordanita horni,32.22908611,51.10513056,F
Jordanita,Jordanita kurdica,33.620344,48.258657,F
Zygaenoprocris,Zygaenoprocris obscura,33.65081111,48.26960556,F
